PERSONNM,VENDOR_NAME
CORRINE FUCHS,COMMUNITY CENTER OF THE ROCKAWAY
MICHAEL ROBERTS,COMPREHENSIVE DEVELOPMENT INC
AARON ITZKOWITZ,BNOS MALKA ACADEMY
TIM BEACH,FAMILY LIFE MINISTRIES
DOUG MABON,CHILDRENS INSTITUTE INC
REBECCA COPENHAVER,AMERICAN PHILOSOPHICAL ASSOCIATION
JEFFREY STERN,HENRY KAUFMANN CAMPGROUNDS INC
SARA E NATHAN,HENRY KAUFMANN CAMPGROUNDS INC
JOHN STONE,TRI-COUNTY UNITED WAY
CHARLES O'BYRNE,NEW YORK CITY MISSION SOCIETY
DONNA LONG,PERSON CENTERED CARE SERVICES
DUANE OWENS,WIA - ONONDAGA CNY WORKS INC
WILLIAM MACK,AMERICAN LEGION JERSEY BOYS STATE
MERI TRIADES,BAYSIDE VILLAGE BUSINESS IMPROVEMENT
MIMI LIEN,SOHO REPERTORY THEATRE INC
LESLIE RUFF,ART IN GENERAL INC
LESLIE M UGGAMS,APOLLO THEATER FOUNDATION INC
ARON B BORUKHOV,JEWISH COMMUNITY RELATIONS COUNCIL OF
JACKIE REITER,JEWISH COMMUNITY CENTER OF STATEN ISLAND
ROBERT LEOPOLD,DYOUVILLE COLLEGE
DR KATHERINE CONWAY-TURNER,UNITED WAY OF BUFFALO AND ERIE COUNTY
SHARON RANDACCIO,UNITED WAY OF BUFFALO & ERIE COUNTY
JULIE WILLMES,CHALLENGER MIRACLE FIELD OF WNY INC
WILLIAM DINELLO,YORK COLLEGE AUXILIARY ENTERPRISES CORPO
JANE ROBERTS,BLANTON-PEALE INSTITUTE
DENNIS GOLDMANN,CAZENOVIA AREA VOLUNTEER AMBULANCE CORPS
MARK LEVENFUS,NEW YORK ROAD RUNNERS INC
TIMOTHY THOMPSON,YOUTH SERVICE OPPORTUNITIES PROJECT INC
PAGEE CHEUNG,MATH ENGINEERING AND SCIENCE ACADEMY
ANANDI V LAW,AMERICAN ASSOCIATION OF COLLEGES OF
BOB MITCHELL,UNLAWFUL NARCOTICS INVESTIGATIONS TREATM
ERIC D COLCA CPA,NIAGARA AQUARIUM FOUNDATION
